id;aluetunnus;nimi;kuvaus;osaamisen_rajaarvo;minimivaatimus;voimassaolo_alkaa;voimassaolo_loppuu
1;override local;Intelligent Cotton Table;infrastructures;Grocery JSON;platforms Wooden;2020-09-23;2020-09-23
2;niches black;Awesome Soft Cheese Marshall Islands Specialist;access;bypassing;compressing;2020-09-22;2020-09-22
3;Ergonomic Wooden Table;grow Gloves;Officer applications;reintermediate intangible;Wooden asymmetric;2020-09-22;2020-09-22
4;connect Neck;Pants payment;action-items cutting-edge;Expanded;Barbados Dollar challenge;2020-09-23;2020-09-22
5;Salad;grey;Dynamic Ergonomic Concrete Computer;Multi-lateral;executive;2020-09-22;2020-09-23
6;engineer definition Steel;Gloves open-source Singapore;next-generation magenta Markets;orchid;Mountain;2020-09-22;2020-09-22
7;Andorra;Auto Loan Account methodologies Mountains;Coordinator;Sharable local;Baby;2020-09-23;2020-09-23
8;Gorgeous SMS;Somali Shilling Lead Keyboard;calculate;knowledge user Motorway Frozen;primary;2020-09-22;2020-09-22
9;Borders Concrete CSS;TCP haptic;Manager Borders;Denmark sexy;back up invoice;2020-09-22;2020-09-22
10;Buckinghamshire;Mexico optimize Rwanda Franc;SDD Manager;United States Minor Outlying Islands Handcrafted Granite Shirt payment;Slovakia (Slovak Republic);2020-09-22;2020-09-22
