id;tunnus;nimi;kuvaus;osaamisen_rajaarvo;arviointikriteerit;voimassaolo_alkaa;voimassaolo_loppuu;rooli
1;empower quantifying;Handmade;transmit;Team-oriented;Liaison payment non-volatile;2020-10-06;2020-10-05;TERVEYDEN_JA_HYVINVOINNIN_EDISTAMINEN
2;River;hybrid;deposit Avon;Serbia focus group Outdoors;Intelligent Plastic Chair Virgin Islands, U.S.;2020-10-06;2020-10-06;OMA_OSAAMINEN_JA_TIEDONHALLINTA
3;Lebanon Forward;harness upward-trending Credit Card Account;Internal Money Market Account executive;Village copying;Unbranded Steel Keyboard Sausages;2020-10-05;2020-10-06;LAAKETIETEELLINEN_OSAAMINEN
4;Home Loan Account;Health Lao People's Democratic Republic;navigate Manager Metal;quantify HTTP Dynamic;Brunei Darussalam;2020-10-05;2020-10-05;VUOROVAIKUTUSTAIDOT
5;Gloves optical Avon;Ergonomic Plastic Fish;Trail program;Table;methodologies;2020-10-05;2020-10-05;OMA_OSAAMINEN_JA_TIEDONHALLINTA
6;seize Metal;Investment Account;solutions California JSON;Developer incremental driver;Books online Avon;2020-10-06;2020-10-05;YHTEISTYOTAIDOT
7;Orchestrator THX;Direct;Rustic Concrete Sausages card Pound Sterling;Analyst Pizza;Saint Barthelemy Convertible Marks;2020-10-06;2020-10-05;AMMATILLISUUS
8;Accounts Alabama deposit;deposit;responsive invoice;Keyboard Wisconsin Cambridgeshire;transmitting;2020-10-05;2020-10-05;TERVEYDEN_JA_HYVINVOINNIN_EDISTAMINEN
9;Estate;backing up firewall;Manager Licensed Concrete Table Glen;International monetize Turks and Caicos Islands;Sleek index;2020-10-05;2020-10-06;OMA_OSAAMINEN_JA_TIEDONHALLINTA
10;Russian Ruble Jamaican Dollar;Bike protocol Assimilated;systems Phased;Vanuatu;Triple-buffered;2020-10-06;2020-10-06;TERVEYDEN_JA_HYVINVOINNIN_EDISTAMINEN
