id;epa_tunnus;epa_nimi;kuvaus;voimassaolo_alkaa;voimassaolo_loppuu
1;executive initiative Intranet;bottom-line Identity hacking;Slovenia HTTP;2020-10-06;2020-10-05
2;end-to-end Tasty Refined Plastic Chicken;Investment Account Internal SQL;deliver;2020-10-05;2020-10-06
3;vortals hacking;transmitting AI Solutions;online primary;2020-10-06;2020-10-06
4;plum Kentucky Unbranded;Consultant;Representative Fully-configurable turn-key;2020-10-05;2020-10-05
5;compress Home Loan Account Developer;invoice Walks zero tolerance;Consultant;2020-10-05;2020-10-06
6;Colorado repurpose cyan;scalable cross-platform;Quetzal logistical Coordinator;2020-10-06;2020-10-06
7;technologies;index Trinidad and Tobago Dollar gold;array Soap;2020-10-05;2020-10-06
8;hacking help-desk Planner;complexity;port Marshall Islands;2020-10-06;2020-10-05
9;lime national Arizona;withdrawal Customer;emulation Associate Agent;2020-10-06;2020-10-06
10;calculate Generic Marketing;Turkmenistan;Handcrafted Cotton Fish;2020-10-06;2020-10-06
