id;tunnus;osasto;alkamispaiva;paattymispaiva
1;Pants sky blue Oregon;convergence Sleek Wooden Sausages orchid;2020-09-22;2020-09-22
2;Principal;zero defect Dong hard drive;2020-09-22;2020-09-22
3;Handmade Sausages sexy;Bedfordshire;2020-09-22;2020-09-22
4;customized;Bermudian Dollar (customarily known as Bermuda Dollar) Electronics;2020-09-22;2020-09-22
5;motivating Progressive input;markets impactful Forward;2020-09-23;2020-09-22
6;Borders Refined Frozen Bacon override;Executive virtual sky blue;2020-09-23;2020-09-22
7;payment;protocol;2020-09-22;2020-09-22
8;Auto Loan Account;communities;2020-09-22;2020-09-23
9;open-source solid state Auto Loan Account;Investment Account;2020-09-22;2020-09-23
10;Universal;Rupiah navigating;2020-09-23;2020-09-22
